Display of File examples/AR_unpacked.exe

DOS File Size                                     28510h  (165136. )
Load Image Size                                   28110h  (164112. )
Relocation Table entry count                      0098h  (   152. )
Relocation Table address                          001Ch  (    28. )
Header Size                                       0400h  (  1024. )
Minimum Extra Memory                              31700h  (202496. )
Maximum Memory Requirement                        FFFFh  ( 65535. paragraphs = 1048560 bytes, all available )
File load checksum                                0000h  (     0. )
Overlay Number                                    0000h  (     0. )
Entry Point File Offset                           00420h  (  1056. )
Entry Point Image Offset                          00020h  (    32. )

Initial Stack Segment  (SS:SP)			  1B5F:CB14
Program Entry Point    (CS:IP)			  0000:0020

=== Relocation Table (152 entries) ===
Entry  Segment:Offset  File Location (Hex)  Linear Offset
-----  --------------  -------------------  -------------
00122  0000:D5E2        0000D9E2h          00D5E2h
00123  0000:D5F4        0000D9F4h          00D5F4h
00124  0000:D5FA        0000D9FAh          00D5FAh
00125  0000:D60C        0000DA0Ch          00D60Ch
00126  0000:D612        0000DA12h          00D612h
00127  0000:D624        0000DA24h          00D624h
00128  0000:D62A        0000DA2Ah          00D62Ah
00129  0000:D63C        0000DA3Ch          00D63Ch
00130  0000:D642        0000DA42h          00D642h
00131  0000:D654        0000DA54h          00D654h
00132  0000:D65A        0000DA5Ah          00D65Ah
00133  0000:D66C        0000DA6Ch          00D66Ch
00134  0000:D672        0000DA72h          00D672h
00135  0000:D684        0000DA84h          00D684h
00136  0000:D68A        0000DA8Ah          00D68Ah
00137  0000:D69C        0000DA9Ch          00D69Ch
00138  0000:D6A2        0000DAA2h          00D6A2h
00139  0000:47C1        00004BC1h          0047C1h
00140  0000:BE24        0000C224h          00BE24h
00141  0000:BEE2        0000C2E2h          00BEE2h
00142  0000:BFAB        0000C3ABh          00BFABh
00143  0000:C167        0000C567h          00C167h
00144  0000:C32C        0000C72Ch          00C32Ch
00145  0000:C427        0000C827h          00C427h
00146  0000:C55B        0000C95Bh          00C55Bh
00147  0000:C73F        0000CB3Fh          00C73Fh
00148  0000:C7CD        0000CBCDh          00C7CDh
00149  0000:C946        0000CD46h          00C946h
00150  0000:CA4E        0000CE4Eh          00CA4Eh
00151  0000:CACD        0000CECDh          00CACDh

Padding between relocation table and image:
0000027c  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
*
000003fc  00 00 00 00                                       |....            |
