xmux: 2026-07-30 00:34:15 [info] xmux 0.4.0 client log=/home/wizard/.xmux/log/xmux.log
xmux: 2026-07-30 00:34:15 [info] run session=icon-ok display=:10 gl=mesa cmd=/usr/local/bin/dosbox
date       time         | 
2026-07-30 00:34:15.627 | arguments: /usr/local/bin/dosbox -noprimaryconf -conf /tmp/grok-goal-3be9eee63a80/implementer/dynamic/icon-only.conf
2026-07-30 00:34:15.627 | Current dir: /tmp/quality
2026-07-30 00:34:15.627 | stderr verbosity: 0
2026-07-30 00:34:15.627 | -----------------------------------
2026-07-30 00:34:15.627 | dosbox-staging version 0.83.0-alpha (a7ad1)
2026-07-30 00:34:15.627 | ---
2026-07-30 00:34:15.627 | Loguru version 2.1.0 initialised
2026-07-30 00:34:15.657 | CONFIG: Deprecated setting 'cycles'
2026-07-30 00:34:15.658 | CONFIG: The 'cycles' setting is deprecated but still accepted; please use 'cpu_cycles', 'cpu_cycles_protected' and 'cpu_throttle' instead.
2026-07-30 00:34:15.658 | CONFIG: Loaded custom config file '/tmp/grok-goal-3be9eee63a80/implementer/dynamic/icon-only.conf'
2026-07-30 00:34:15.658 | LOCALE: Using internal English language messages (detected from 'LANG=C.UTF-8')
2026-07-30 00:34:15.674 | SDL: Version 2.30.3 initialised
2026-07-30 00:34:15.674 | SDL: x11 video initialised
2026-07-30 00:34:15.674 | VIDEO: Using the DOS video modes' refresh rate
2026-07-30 00:34:15.692 | MEMORY: Using 4096 DOS memory pages (16 MB) at address: 0x7f50c6bff010
2026-07-30 00:34:15.692 | CPU: Setting fixed 25000 cycles. Try setting 'core = dynamic' for increased performance if you need more than 20000 cycles.
2026-07-30 00:34:15.692 | VIDEO: Initialised S3 Trio64 VESA 2.0 compatible with 4 MB of FP DRAM supporting 89 modes
2026-07-30 00:34:15.699 | VOODOO: Initialized with 4 MB of RAM, 8 threads, and bilinear filtering
2026-07-30 00:34:15.699 | CAPTURE: Image capturer started
2026-07-30 00:34:15.711 | SDL: alsa audio initialised
2026-07-30 00:34:15.711 | MIXER: SDL negotiated the requested blocksize of 512 to 1024 frames
2026-07-30 00:34:15.711 | MIXER: Initialised stereo 48000 Hz audio with 1024 sample frame buffer
2026-07-30 00:34:15.711 | MIXER: Reverb disabled
2026-07-30 00:34:15.711 | MIXER: Master compressor enabled
2026-07-30 00:34:15.711 | MPU-401: Running in intelligent mode on ports 330h and 331h
2026-07-30 00:34:15.711 | MIDI:ALSA: Attempting connection to: ''
ALSA lib /var/tmp/portage/media-libs/alsa-lib-1.2.14/work/alsa-lib-1.2.14/src/seq/seq_hw.c:540:(snd_seq_hw_open) open /dev/snd/seq failed: No such file or directory
2026-07-30 00:34:15.711 | MIDI:ALSA: Can't open MIDI sequencer
ALSA lib /var/tmp/portage/media-libs/alsa-lib-1.2.14/work/alsa-lib-1.2.14/src/seq/seq_hw.c:540:(snd_seq_hw_open) open /dev/snd/seq failed: No such file or directory
2026-07-30 00:34:15.711 | MIDI:ALSA: Can't open MIDI sequencer
2026-07-30 00:34:15.711 | MIDI:ALSA: No available MIDI devices found
2026-07-30 00:34:15.714 | MIDI: Error opening MIDI device 'port'; using 'none' (disabling MIDI output)
2026-07-30 00:34:15.714 | OPL: Speex resampler is on, input rate: 49716 Hz, output rate: 48000 Hz
2026-07-30 00:34:15.714 | OPL: Operating at 49716 Hz and downsampling to the output rate
2026-07-30 00:34:15.714 | OPL: Speex resampler is on, input rate: 49716 Hz, output rate: 48000 Hz
2026-07-30 00:34:15.714 | OPL: Noise gate enabled
2026-07-30 00:34:15.714 | OPL: Running OPL3 on ports 220h and 388h
2026-07-30 00:34:15.714 | OPL: Sound Blaster 16 OPL output filter enabled
2026-07-30 00:34:15.714 | OPL: Speex resampler is on, input rate: 49716 Hz, output rate: 48000 Hz
2026-07-30 00:34:15.714 | DMA: Initialised primary controller
2026-07-30 00:34:15.714 | DMA: Initialised secondary controller
2026-07-30 00:34:15.714 | SB: Speex resampler is on, input rate: 22050 Hz, output rate: 48000 Hz
2026-07-30 00:34:15.714 | SB: Operating at 22050 Hz and upsampling to the output rate
2026-07-30 00:34:15.714 | SB: Speex resampler is on, input rate: 22050 Hz, output rate: 48000 Hz
2026-07-30 00:34:15.714 | SB: Speex resampler is on, input rate: 45454 Hz, output rate: 48000 Hz
2026-07-30 00:34:15.714 | SB16: Modern DAC output filter enabled
2026-07-30 00:34:15.714 | SB16: Setting 'BLASTER' environment variable to 'A220 I7 D1 H5 T6'
2026-07-30 00:34:15.714 | SB16: Running on port 220h, IRQ 7, DMA 1, and high DMA 5
2026-07-30 00:34:15.716 | PCSPEAKER: Speex resampler is on, input rate: 32000 Hz, output rate: 48000 Hz
2026-07-30 00:34:15.716 | PCSPEAKER: Operating at 32000 Hz and upsampling to the output rate
2026-07-30 00:34:15.716 | PCSPEAKER: Initialised impulse model
2026-07-30 00:34:15.716 | PCSPEAKER: High-pass filter enabled (18 dB/oct at 120 Hz)
2026-07-30 00:34:15.716 | PCSPEAKER: Low-pass filter enabled (18 dB/oct at 4300 Hz)
2026-07-30 00:34:15.751 | LOCALE: Country detected from ''
2026-07-30 00:34:15.751 | LOCALE: Loading native locale for country 61 - 'International (English)'
2026-07-30 00:34:15.751 | LOCALE: Using numeric/time/date format detected from host OS
2026-07-30 00:34:15.751 | LOCALE: Could not detect host keyboard layouts
2026-07-30 00:34:15.751 | LOCALE: Loaded keyboard layout 'us' - 'US (standard, QWERTY/national)'
2026-07-30 00:34:15.751 | DEBUG_OVERLAY: init visible=false grid~80x25 force=0,0 hotkey=ctrl+alt+g (host-only)
2026-07-30 00:34:15.751 | WEBSERVER: Starting HTTP REST API on http://127.0.0.1:8080
2026-07-30 00:34:15.751 | WEBSERVER: Using document root directory '/home/wizard/.config/dosbox/webserver'
2026-07-30 00:34:15.752 | CONFIG: Loaded auto-mounted drive config file '/usr/local/share/dosbox-staging/drives/y.conf'
2026-07-30 00:34:15.752 | AUTOEXEC: Using autoexec from one or more joined sections
2026-07-30 00:34:15.752 | DISPLAY: Invalid 'window_size' setting: '640x400', using 'default'
2026-07-30 00:34:15.752 | DISPLAY: Using 640x480 window size in windowed mode on display-0
2026-07-30 00:34:15.786 | OPENGL: Version: 4.5, GLSL version: 4.50, vendor: Mesa
2026-07-30 00:34:15.796 | RENDER: Using adaptive CRT shader based on the graphics standard of the video mode
2026-07-30 00:34:15.796 | RENDER: Auto-switched to shader 'crt/crt-hyllian:hercules'
2026-07-30 00:34:15.818 | VGA: Double scanning VGA video modes enabled
2026-07-30 00:34:15.818 | VGA: Pixel doubling enabled
2026-07-30 00:34:15.818 | OPENGL: Error disabling vsync: That operation is not supported
2026-07-30 00:34:15.818 | MOUSE: Will be captured after the first left or right button click
2026-07-30 00:34:15.818 | MOUSE: Middle button will capture/release the mouse (clicks not sent to the game/program)
2026-07-30 00:34:15.845 | MAPPER: No joysticks found
2026-07-30 00:34:15.845 | MAPPER: Loaded default key bindings
2026-07-30 00:34:15.856 | RENDER: Auto-switched to P22 CRT color profile
2026-07-30 00:34:15.856 | RENDER: Auto-switched to 7800K colour temperature
2026-07-30 00:34:15.857 | RENDER: Auto-switched to shader 'interpolation/sharp'
2026-07-30 00:34:15.859 | VGA: Forcing single scanning of double-scanned VGA video modes
2026-07-30 00:34:15.859 | VGA: Forcing no pixel doubling
2026-07-30 00:34:15.863 | RENDER: Auto-switched to shader 'interpolation/sharp'
2026-07-30 00:34:15.863 | DISPLAY: VGA 720x400 16-colour text mode 03h at 70.087 Hz, scaled to 640x480 pixels with 1:1.35 (20:27) pixel aspect ratio
2026-07-30 00:34:15.863 | DISPLAY: Presenting at DOS rate without vsync
2026-07-30 00:34:15.865 | MOUSE (DOS): Built-in driver is simulating a 2 buttons model
2026-07-30 00:34:16.115 | RENDER: Auto-switched to shader 'interpolation/sharp'
2026-07-30 00:34:16.122 | RENDER: Auto-switched to shader 'interpolation/sharp'
2026-07-30 00:34:16.122 | DISPLAY: VGA 360x200 16-colour text mode at 70.087 Hz, scaled to 640x480 pixels with 1:1.35 (20:27) pixel aspect ratio
ALSA lib /var/tmp/portage/media-libs/alsa-lib-1.2.14/work/alsa-lib-1.2.14/src/pcm/pcm.c:8772:(snd_pcm_recover) underrun occurred
2026-07-30 00:34:20.047 | RENDER: Auto-switched to shader 'interpolation/sharp'
2026-07-30 00:34:20.053 | RENDER: Auto-switched to shader 'interpolation/sharp'
2026-07-30 00:34:20.053 | DISPLAY: VGA 360x400 16-colour text mode 01h at 70.087 Hz, scaled to 640x480 pixels with 1:0.675 (40:27) pixel aspect ratio
2026-07-30 00:34:21.797 | RENDER: Auto-switched to shader 'interpolation/sharp'
2026-07-30 00:34:21.803 | RENDER: Auto-switched to shader 'interpolation/sharp'
2026-07-30 00:34:21.803 | DISPLAY: VGA 360x200 16-colour text mode at 70.087 Hz, scaled to 640x480 pixels with 1:1.35 (20:27) pixel aspect ratio
2026-07-30 00:34:23.344 | ENVELOPE: PCSPEAKER done after 19385 frames, peak sample was 16415.0000
